Couplet,Poet
"جڏهن کان پرين تو آ ناتو ڇنو
تڏهن کان سڀئي خواب آهن رُٺل",Adil Soomro
"واٽَ تان پَٿَرُ ئي کَڻُ تُون ڪُجھه ته ڪر
واندڪائي ڪينَ ٿي ايڏي ٺَهي.",Adil Soomro
"جنهن پيارَ کي ٺُڪرايو
ٺوڪَر ۾ ڏِٺو هوندَئي.",Adil Soomro
"درشن نه ديپُ ڪوئي تنها اُداس لمحا
توکان سِوا رَئي آ ڏِياريِءَ جي شامَ جو.",Adil Soomro
"ساٿ تنهنجو رهيو نه واعدو ڪو
هاڻي سپنن ۾ ڇا رکيو آهي",Adil Soomro
"جيڪا هاريءَ جي هٿن مان ٿي ڦٽي
روشني سائي ٻنين ۾ ٿي رهي",Adil Soomro
"جيون ـ ٻيڙي طوفانن مان
اُڪري ويندي سونهن سهاري",Adil Soomro
"پکي، بتيلا، سنڌو، سانوڻ
لهر لهر تي باک ڦُٽي آ",Adil Soomro
"مان اکين جي سمُنڊ ۾ٻڏندو رهيس
ڪيترو مونکي ڪنارَن ٿي سڏيو.",Adil Soomro
"تنهنجي مُورت ۾ اڃا ڪُجھه رنگُ هو رهجي ويو
بُرشُ ڪاوڙ مان ڀَڃي پوءِ آڱريون سوچڻَ لَڳيون.",Adil Soomro
"وڏي شهر جو شوق ڪيڏو هو توکي!
اجايو اچي پاڻ ويٺين وڃائي",Adil Soomro
"عشق آتش فشان دل ننڍو ڳوٺڙو
آسَ هرڪا پَچي پوءِ ٻُڏي ٿي وڃي.",Adil Soomro
"نفرتن جي هن وڏي شمشان ۾
پيارَ جي هڪڙي ڪڻيءَ موهَي ڇڏيو.",Adil Soomro
"ٻارڙا سڀ پاڻ ۾ خوش ٿي ڪُڏن
هر گھٽيءَ جون رونقون قائم هجن",Adil Soomro
"مُنهنجي ڪَوتا جوڳياڻي آ
ڪا شهزادي راڻي ڪونهي.",Adil Soomro
"گيتُ نه اوندھ ڳڙڪائيندي
اڃا ته پنهنجي ڏات ٻَري ٿي.",Adil Soomro
"تُنهنجي ڪاوڙ ڀي لڳي پياري مگر
رنگَ تنهنجي ٽامڻيءَ موهَي ڇڏيو.",Adil Soomro
"جنهن ۾ سازش جي ڦُٽڻَ جو ٿئي گُمان
ذهن جي اُن ڪنڊَ کي وڪڻِي ڇڏيو.",Adil Soomro
"رقصُ انهيءَ جو رُڪجي ويو هوءَ ٿڪجي پَئي
وارَ هَوا جا جھُڳٽن ۾ جو اَٽڪي پَيا.",Adil Soomro
"تون جو ناهين، دنيا سائين
تيرَ اسان تي تاڻي ٿي.",Adil Soomro
"ڪوڙَ جو سمنڊ جنهن پَل ٿو اُٿلي پوي
ڳالهه هر ڪا سچي پوءِ ٻُڏي ٿي وڃي.",Adil Soomro
"جنهن کي جوڙڻ ۾ لڳا ڪي ورهيه ها
لفظ هڪڙي سان ڳڀا آ ٿي ويو.",Adil Soomro
"هُوءَ اکين سان هُئي ڪندي منهنجي سَدائين آجيان
لوڪَ آڏو ظاهري پرَ اوپري هوندي هُئي.",Adil Soomro
"تُنهنجي مُنهنجي دل جي وچ ۾
پُل مون هڪڙي ٺاهي آهي.",Adil Soomro
"چنڊَ تي ڄڻُ ڄارَ ٿا پئجي وڃن.
تُنهنجي مُک تي وارَ ٿا پئجي وڃن.",Adil Soomro
"هي رستا هي وڻَ به سَڀئي اوپرا
سِوا تو لڳي ٿي اجائي زَمين.",Adil Soomro
"مُون ته چاهيو پَئي تُون به لکندي رهين
مُنهنجي توڏي چِٺي آخري ڪانه هُئي.",Adil Soomro
"سُونهن آهي زندگيءَ جو سازُ ڪو
۽ اُنهيءَ جي تارَ آهي شاعري.",Adil Soomro
"تار تو ۾ مست سنڌو پيو وهي
سنڌ! تنهنجي سونهن شل قائم رهي",Adil Soomro
"اوهان پنهنجي گھر جي ڪشادي پڌر تان
پرين جي پکين کي اُڏاري نه ڇڏجو",Adil Soomro
"روشني اونداههَ ۾ گُم ٿي وئي.
دوستي ويساههَ ۾ گُم ٿي وَئي.",Adil Soomro
"چنڊ ستارا ڳائن ٿا
ڌرتيءَ وارا ڳائن ٿا",Adil Soomro
"سپني مان سندرتا جاڳي
پيار نگر تي باک ڦُٽي آ",Adil Soomro
"ماڻهوءَ جي دل واقعي گھَرُ خُدا جو آ
پنهنجي شاعريءَ تي اڄُ باهُو سوچي ٿو.",Adil Soomro
"لهرن تي ٻيڙي ٿي جھومي
سڀُ ڪنارا ڳائن ٿا",Adil Soomro
"تُنهنجي مُرڪ ملي آ مونکي
جيئڻ لاءِ اِلاهي آهي.",Adil Soomro
"سندءِ سونهن ڪيو آ سوگھو
هرڻ هٺيڪلو پنهنجو هانءُ",Adil Soomro
"پيارَ جو گيتُ لکي ۽ تون
هُن کي هٿَ ۾ ڏئي آ.",Adil Soomro
"دلرُبائي ڪينَ ٿي ايڏي ٺَهي.
اچُ جُدائي ڪينَ ٿي ايڏي ٺَهي.",Adil Soomro
"ڪي پنهنجا پَرايا جَنم ڏينهن تي
وَري دردَ آيا جَنم ڏينهنَ تي.",Adil Soomro
"طوفان جي نيڻن ۾
ڪيڏي ته وڏائي هُئي",Adil Soomro
"نه ڳاڙها غاليچا نڪي گُل آهن
اسان دل جي تولئه سَجائي زَمين.",Adil Soomro
"اندَر ۾ اسان جي سَوين ڪرَبَلائون
ٿي ماتام جهڙي حَياتي اَسانجي.",Adil Soomro
"ڏاڍو ٿيو افسوس آ مونکي
سوچَ تنهنجي درٻاريءَ تي.",Adil Soomro
"راهُون ڌنڌليون ٿي وينديون
جي رهبر آ خوفَ ۾ ورتَلُ.",Adil Soomro
"جيڪو مون وٽَ رهجي وَيو توکان ڪِتابُ.
تُنهنجون ٿو ڳالهيون ڪري مون سان ڪِتابُ.",Adil Soomro
"هن کي حاصل ڪرڻ جي ڪوشش ڪر
چند ڳوڙهن ۾ ڇا رکيو آهي",Adil Soomro
"حُسن جي ميلي ۾ ڪيئي جَل پريون
هُن مگر هڪڙيءَ ڄَڻيءَ موهَي ڇڏيو.",Adil Soomro
"ڪنڊا سڀُ ناراض ٿيا ها مون تي جو
ڇالئه مُرڪي مونسان گُلابن ڳالهايو.",Adil Soomro
"تُون مُنهنجي ڀَرَ ۾ آهين پو
ڇو اندرُ آ خوفَ ۾ ورتَلُ.",Adil Soomro
"تُنهنجي دَرَ تي ساهي آهي.
اُن کان اڳتي کاهي آهي.",Adil Soomro
"هُو پوپٽُ گُلن جو وٺي واسُ پو
ڇو ڪاڏي الائي هَليو ٿو وَڃي.",Adil Soomro
