Couplet,Poet
"پويون پھر، جُدائي جاڳَ.
اُڀ ۾ چندرما جي آڳ.!",Sheikh Ayaz
"آس _ اَسونھان، رڻ ۾ رات،
گھايل گھوڙا، بيوس واڳ.!",Sheikh Ayaz
"جھاڳي آئي جيون _ ناوُ،
ڪيئي ڪارونڀار اجھاڳ.",Sheikh Ayaz
"پھتا نيٺ ڪلاڪن _ ڪُوءِ،
ڀٽڪي ڀٽڪي منھنجا ڀاڳ.",Sheikh Ayaz
"تنھنجي ماندي باندي آءُٗ،
اَمرت اوت، مُئيءَ جا ماڳ.!",Sheikh Ayaz
"موتئي جون مالھائون، مُنڌ،
من _ مندر جي چائنٺ، شام.!",Sheikh Ayaz
"سانوڻ جي مڌ _ ماتي رات،
اُڀ ۾ ڪيئي جلندا جام.",Sheikh Ayaz
"چنگ، چَڙا، چانڊوڪي، چيٽ،
سھڻي، سِير، مرڻ جي مام.",Sheikh Ayaz
"منُ راڌا جي روپ نہ آھ،
تون تہ اُھوئي آھين شيام.!",Sheikh Ayaz
"اُلري آءُ، وِرھ َ جا واگھ،!
من جي بن تي ڇانئي شام.",Sheikh Ayaz
"ٻاھر رنگارنگ شفق،
پڃري ۾ پنڇيءَ جي شام.",Sheikh Ayaz
"چوڌاري سج _ ورني ريتِ،
پنھنجا واريء َ تي وِسرام.",Sheikh Ayaz
"ساڳيو سامي ڪاپڙيو،
جنھن جا گيڙو گيت سڻيام.",Sheikh Ayaz
"جنھن جون وايون مينھن ڦڙيون،
جنھن جا سُر سانوڻ جي شام.!",Sheikh Ayaz
"شِو جو سِيسُ، نہ ٽھندڙ نانگ،
تو ۾ آيا ڪيئن ڪلام.!",Sheikh Ayaz
"ڪھڙي ڪاريھر جو ڏنگُ،
چورائي آيو آ چنگ.!",Sheikh Ayaz
"پي پي آيو سج_ سروپ،
ڪوئي آڌوتي اَڙٻنگ.",Sheikh Ayaz
"من جو ڪارونڀار، ڪنڌيون،
سَرتِي،! تنھنجو منھنجو سنگ.",Sheikh Ayaz
"اَڄ جو ڪائي بوند پئي،
جيون ٿي ويو سُر سارنگ.",Sheikh Ayaz
"ھاءِ،! ڪٿي ھوءَ سِير، مئي،
جنھن جي لاءِ رڙي ٿو ڪنگ.!",Sheikh Ayaz
"اُن جي لوئي لاک_ رتي،
مرندي منڌ، شفق جو رنگ.",Sheikh Ayaz
"سانجھي، مانجھي، ٻيٽ، ٻڳھا،
ڀر تي آگ مٿان آونگ.",Sheikh Ayaz
"سَري نہ پنھنجي سِير سواءِ،
سامونڊيءَ جو ڪنھن سان سنگ.!",Sheikh Ayaz
"نانگا، مينھوڳيءَ ۾ مچ،
ڪاريءَ نانگڻ جھڙي رات.!",Sheikh Ayaz
"مسجد، مندر سڀڪجھ رکَ،
جرڪي ٿي ھيءَ ڪنھن جي ذات.!",Sheikh Ayaz
"واھيري جي وير، ھُڳاءُ،
آکيري کي اوڏِي لات.",Sheikh Ayaz
"برکا رُت جي ڌنڌلي باکَ،
نيڻ ندوريءَ جا، برسات.",Sheikh Ayaz
"قيدي چيتي جھڙو ڏينھن،
زخمي ھرڻيءَ جھڙي رات.",Sheikh Ayaz
"سنڌي شاعر، باسي بيک،
اُردوءَ جي اَڌ_جوٺي ڏات.",Sheikh Ayaz
"مذھب جي مرڻينگ کنيا،
ساڳيا ڪوڙ، ڪھاڙا ڪات.",Sheikh Ayaz
"سچ، پَنڇي يا پنڇيءَ جو،
وھندي پاڻيءَ تي پاڇو.",Sheikh Ayaz
"آيو آھين ڏينھن لٿي،
مَڌ پي ٿڙندو ٿاٻڙندو.",Sheikh Ayaz
"ڪاري ڪڻڇيءَ جھڙي رات،
پريت اسان جي آ پڃرو.",Sheikh Ayaz
"وڻ وڻ تي ڪوماڻا ڪانوَ،
پن پن ۾ پڙلاءُ نہ ڪو.",Sheikh Ayaz
"ھھڙي سانت، سرءُ جو واءُ،
ڇو نہ ڀري آ پيالي تو.؟",Sheikh Ayaz
"تن جي تَونس سوا ڀي ميتَ،
ڪوئي ماڻھو ماڻھوءَ جو.!",Sheikh Ayaz
"او مڌ _ ماتا ميت ڪوي.!
آئين اَمرت اوتيندو.",Sheikh Ayaz
"پَلُ پَلُ وِھ جي آھِ وَٽي،
مُکَ مُک ۾ آ زھر ڀريو.",Sheikh Ayaz
"پھتو تو وٽ ڇو نہ اُلاءُ،
جُوالا جيون جو ڦاٽو.!",Sheikh Ayaz
"پنھنجي سياست باد _ فرنگ،
ڪوڙھيءَ پوڙھيءَ رنڊيءَ جو.",Sheikh Ayaz
"مذھب ويٺو پاڻ مَکي،
چوراھي تي آ چَڪلو.",Sheikh Ayaz
"اَڄ ڪائي گجگوڙ نہ آھ،
سارو بن آ سانتيڪو.",Sheikh Ayaz
"شينھن مري ويا، باقي ڇا،
ھي پنھنجا پنجوڙ کڻو.",Sheikh Ayaz
"_________
شايد ويھي ڇَپ ماري،",Sheikh Ayaz
"اڳتي ڪوئي آھيڙيو.!
رھي نہ ڪائي ڇال ڇُپي،",Sheikh Ayaz
"ساري بن کي باھ ڏيو.
__________",Sheikh Ayaz
"سنڌڙي،! تنھنجي سينڌ ڏسي،
رات ڀٽائي گھوٽ رُنو.:",Sheikh Ayaz
"منھنجي من جي مٽيءَ ۾،
ڏاڙھونءَ جھڙو ڏنڀ ڦٽو.:",Sheikh Ayaz
"وڌوا جو مڙھ آھ ادب،
اڄڪلھ سنڌيءَ ٻوليءَ جو.",Sheikh Ayaz
"ويندو نيٺ وِسامي، ھاءِ،
ٽِمڪي ٽِمڪي ڪو ڏيئو.!",Sheikh Ayaz
"ڪيسين جلندي رھندي جوت،
ويري جنھن جو واچوڙو.!",Sheikh Ayaz
"ڪِرندا آخر ڪوٽ ڪڏھن،
ماروئڙو،! او ماروئڙو.!",Sheikh Ayaz
"او مڌ _ ماتا، ھوريان ھَلُ،
منزل آھي ھر ھڪ پَلُ.",Sheikh Ayaz
"منھنجي مُنھن تي تنھنجا ھَٿ،
ٽِڙندو آ جئن نيل _ ڪَمل.",Sheikh Ayaz
"تياڳَ ويا، ويراڳ ويا،
ھئہ ھئہ ڇورِي تنھنجو ڇلُ،!",Sheikh Ayaz
"جنھن جيونَ ۾ مومل ناھ،
تنھن جو ڪھڙو ڪاڪ محل.!",Sheikh Ayaz
"سانجھيءَ ٽاڻي پيءُ سَرو،
تنھنجو ويرِي ٿئي وياڪَل.",Sheikh Ayaz
"ڪنھن جي ناھي ھيءَ سراءِ،
رات گذاريئہ، ھاڻي ھَل.!",Sheikh Ayaz
