Couplet,Poet
"هوا کي چئو پرينءَ جي گهر گهڙي آهستي آهستي
ٻڌي ٻانهون جهُڪِي خوشبو چمي آهستي آهستي",Ustad Bukhari
"ڪڪر پرتي هٽو هاڻي ته ڪا تارا زيارت ڪن،
پري ٿيو روشني پيرين پوي آهستي آهستي",Ustad Bukhari
"سويري سج جا ڪِرڻا ڪرڻ ديدار ايندا سو،
اسُر سان ماڪ ٽيهو ٿي ڏئي آهستي آهستي",Ustad Bukhari
"اتان طوفان ٿي پهتس، هِتان نڪران ته دم نڪري،
ڪٿي ماڻهو اُٻهرو آ، ڪٿي آهستي آهستي",Ustad Bukhari
"طَلبَ واريءَ جي ڀِڪ ناهي، کڻي منڇر جي ڇر سمجهو،
تپي آهستي آهستي، ٺري آهستي آهستي",Ustad Bukhari
"ڊڪي راڪيٽ کان تڪڙو، پوي ڪاٿي نه ٿاٻڙجي،
صلاحون ڏيو زماني کي هلي آهستي آهستي",Ustad Bukhari
"متان محسوس ٿئي دل کي، متان معلوم ٿئي من کي،
تڏهن استاد ٿو تڙپي لڇي آهستي آهستي",Ustad Bukhari
"اسان جي پيار جو تحفو قبوليندي ته خوش ته هوندين،
گلابي گل هي گلدستو قبوليندي ته خوش ته هوندين",Ustad Bukhari
"اسان وٽ عشق اڻ ڪٺ آ، اوهان وٽ سونهن سڀ ڪجھ آ،
هي سڪ ۽ سونهن جو سودو قبوليندي ته خوش ته هوندين",Ustad Bukhari
"اڃارا ديد جا آهيون، بخارا قرب جا آهيون،
سوال آهي ته سنگت جو قبوليندي ته خوش ته هوندين",Ustad Bukhari
"محبت زندگي آهي، محبت بندگي آهي،
اهو ”استاد“ جو گفتو قبوليندي ته خوش ته هوندين-​",Ustad Bukhari
"هڪ موت مئي جو ڀئو سهڻا ، ٻيو تو مان نٿو ٿئي ڍئو سهڻا
اهي ڀهڪيون ڳالهيون بخش ڪجاء مونکي محبت جو ٿئي مئو سهڻا",Ustad Bukhari
"هڪ عمر ۾ توکي ڇا ڏسندس هڪ عمر ۾ توسان ڇا کلندس
مونکي عمريون هجن ها سئو سهڻا",Ustad Bukhari
"هڪ موت مئي جو ڀئو سهڻا، ٻيو تو مان نٿو ٿئي ڍئو سهڻا
اهي ڀهڪيون ڳالهيون بخش ڪجاء مونکي محبت جو ٿئي مئو سهڻا",Ustad Bukhari
"تولاء روئان چئين ٿو روئڻو، تولاء سڪان چئين ٿو سڪڻو
جيڪي چوڻو اٿئي پيو چئو سهڻا",Ustad Bukhari
"هي عشق ڏسو منهنجي جوڀن جي نشاني آ۔
مرحوم امنگن جي جيون جي نشاني آ۔",Ustad Bukhari
"ڪنهن ڪنهن کي وجهان ڇلڙا، ڪنهن ڪنهن کي مکيان خوشبو،
هن شهر کي آڇي مون شعرن جي نشاني آ۔",Ustad Bukhari
"گهوُري ته جگر گهائي، مُرڪي ته مکي مرهم،
هر سونهن کي سمجهان ٿو سڄڻن جي نشاني آ۔",Ustad Bukhari
"ڏس جوش ڏڪي ٿو پيو ء هوش بڪي ٿو پيو،
ته به تن ۾ تمنائون، جشنن جي نشاني آ۔",Ustad Bukhari
"احساس جي الماڙي، هر رئڪ تي تقريرون،
شاعر جي اڪيلائي، جشنن جي نشاني آ۔",Ustad Bukhari
"اٿ ميڙ اهي ٺڪريون، دل ڪنهن جي ٽُٽي پئي آ،
هي خاڪ به کڻ ڪنهنجي، نيڻن جي نشاني آ۔",Ustad Bukhari
"مايوس هوائن کان اٿ منهنجون اميدون وٺ،
دانهن جي پلاندن ۾ نغمن جي نشاني آ۔",Ustad Bukhari
"استاد جي البم ۾ گُل ٽاڪ ڀلي دلبر،
هي خار به رک تنهنجي گلشن جي نشاني آ۔",Ustad Bukhari
"خواب تو واري جي خوشبو، اڄ به منهنجي من ۾ آ،
باغ جي هٻڪار هوندي واءَ جي جهلڪن ۾ آ",Ustad Bukhari
"آس هڪ اڀري ٿي پئي پر پوهه جي سورج جيان
روشني، سردي وڌي ڪئي قيد ڪوهيڙن ۾ آ",Ustad Bukhari
"زندگيءَ جي سرخروئي ڪجهه ته منهنجي سڪ ۾ آ،
ڪجهه ته تنهنجي ريشمي ميندي رتن هٿڙن ۾ آ",Ustad Bukhari
"چنڊ جو چمڪو، گلن جي مهڪ، چقمق جي ڪشش،
دلڪشيءَ جو ڪيڏو سهڻو سلسلو سهڻن ۾ آ",Ustad Bukhari
"گفتگو ماکي به آ مصري به آ ڪشمش به آ،
ڪُل مٺاڻن جو مزو تنهنجي مِٺن گفتن ۾ آ",Ustad Bukhari
"تون نه ساقي، مان نه ميڪش، بزم ناهي ميڪدو،
شوق جو آ ڪرشمو، ڪيڏو نشو نيڻن ۾ آ",Ustad Bukhari
"عشق کوٽو، حسن ڪوجهو، ٿي چڪو هي حادثو،
چونءَ پچونءَ ڳوٺن ۾آهي، هوشرو شهرن ۾ آ",Ustad Bukhari
"جرڪ پنهنجي مرڪ جي استاد جي ڳوڙهن ۾ ڏس،
سج جي ڪرڻن جي رونق ماڪ جي قطرن ۾ آ",Ustad Bukhari
"ستاد جي ارداس، نئين سال جو تحفو
مايوس کي ڏي آس، نئين سال جو تحفو",Ustad Bukhari
"پرڀات جي پردي ۾ ڪري بند مُڪو آ،
اڌ رات ڏي آڪاس، نئين سال جو تحفو",Ustad Bukhari
"ڪي_ٽُو کي ملي برف، مليا سج کي بادل،
۽ ٿر کي ملي تاس، نئين سال جو تحفو",Ustad Bukhari
"تخريب ۽ تعمير ڀريو ٿالهه ورهائِن،
هي وهم هي وشواس، نئين سال جو تحفو",Ustad Bukhari
"کڻ صبح سويري سان نئين نُور جا ڪرڻا،
وٺ واءَ وٽان واس، نئين سال جو تحفو",Ustad Bukhari
"استاد جي تقرير ۽ تحرير ۾ آهن،
احساس ئي احساس، نئين سال جو تحفو",Ustad Bukhari
"تنهنجي تڪ تيز نگاهن کان بچو ڪو ڪونهي
ڇو ته هر تير لڳو ٺيڪ گٿو ڪو ڪونهي",Ustad Bukhari
"عشق جي آڳ ڪچهريءَ کي بنايو آوي
جو هتي آ سو پڪو آھ ڪچو ڪو ڪونهي",Ustad Bukhari
"سونهن ۽ نينهن جي سڀ ڪنهن کي سڃاڻپ آهي
ايترو يار صفا ٺوپ انڌو ڪو ڪونهي",Ustad Bukhari
