Couplet,Poet
"افسوس! تون به هاڻي، ٿي آن ويو مُڪمّل،
تنهنجي اڃا وڌڻ لئه، باقي بچو به ڇاهي!",Masroor Pirzada
"مٺا! هيءَ شاعري منهنجي، جا مون هر روز ڳاتي آ،
کڻي جو هيءَ ذاتي آ، تڏهن ڀي ڪائناتي آ.",Masroor Pirzada
"آ رسالو شاهه جو ڪا ڪائنات،
ان تنبوري– تان ۾ ڇا ڇا نه آ!",Masroor Pirzada
"نينهن جو ناچ ڪو نچو هاڻي!
پيار جي رنگ ۾ رچو هاڻي!",Masroor Pirzada
"روح به منهنجو زخمي آهي،
آهه ڪيو مون  ايڏو ماتم!",Masroor Pirzada
"ظُلم ڏس! قتل ٿي انسان رهيو آ، چوڏس،
آهه قاتل به سو انسان، ڏِسون ڇا ٿو ٿئي!",Masroor Pirzada
"تنهنجو منهنجو هاڻي ڪو به تعلّق ناهي،
پوءِ به ماڻهو ڪيڏو ڪن ٿا تنگ اڃا ڀي.",Masroor Pirzada
"حيات هيءَ حقيقت اسان جي آهي يا،
خيال، خواب ادا! آ؟ خبر نه آ مون کي.",Masroor Pirzada
"ساري ساري رات رُلون ٿا، چنڊ، هوا ۽ مان،
ٽيئي ساگر ساڻ ڇُلون ٿا، چنڊ، هوا ۽ مان.",Masroor Pirzada
"ڪا چانڊوڪيءَ جي رات هجي، ۽ تون به هُجين، ٻيو ڇا گهرجي!
هر بات، مُحبّت- بات هجي، ۽ تون به هُجين، ٻيو ڇا گهرجي!",Masroor Pirzada
"هي آسمان به ڪوئي جهان آهي يا،
فقط اهو ڪا خلا آ؟ خبر نه آهي مون کي.",Masroor Pirzada
"پُڇي جي هُو ته اوهان ڀي ٻُڌائجو هُن کي،
نراس ڪالهه هيو جو نراس اڄ ڀي آ.",Masroor Pirzada
"ويڙهه وڙهي مون لفظن سان،
رائيفل، خنجر هوندي ڀي.",Masroor Pirzada
"ڪين وڻي ٿو هاڻ مون کي،
سُهڻو منظر هوندي ڀي.",Masroor Pirzada
"ڪنهن دُعائون ۽ ڏنيون گاريون به ڪنهن،
مون کي مليو دان ۾ ڇا ڇا نه آ!",Masroor Pirzada
"نظر مان نار! تون اوتي، اڃا ڀي مَڌُ ڏِي مون کي،
خُمارن مان نه نڪران مان، نه چئه تون “بس ڪافي آ.”",Masroor Pirzada
"هُو سراپا دماغ ماڻهو آ،
کوٽ دل جي ذهين ۾ آهي.",Masroor Pirzada
"آنءُ روئندو رهيس، مِينهن وسندو رهيو.
منهنجي هستي مِٺي ! آ جهُريل جهُوپڙي،",Masroor Pirzada
"دُکڻ کان پو ٻَرڻ آهي، ٻَرڻ کان پو مَچڻ آهي،
مَچڻ کان پو وِسڻ آهي، ائين آهي ته ڇو آهي؟",Masroor Pirzada
"اڃا به پيارن پکيئڙن کي،
پيو ٿو ماري اُهو ئي ماري.",Masroor Pirzada
"عشق- شراب کپي ٿو مون کي،
مُحبت جو مئخانو گهرجي!",Masroor Pirzada
"لَڄي لَڄي هو بيابان ٿي ويو سارو،
ٻُڌي ڪو اُڃَ لڳل آبشار جو قِصّو.",Masroor Pirzada
"منهنجو ملڪ مُحبّت آهي،
منهنجو شعر انهيءَ جو پرچم.",Masroor Pirzada
"عجيب عشق سندو هي نشو به آهه وڏو!
سڄو جهانُ لڳو پئي ته مون سان مست هيو.",Masroor Pirzada
"آنءُ فاني هان، شعر پر منهنجو،
زندگيءَ جو دوام ٿي ويندو.",Masroor Pirzada
"دل ٿي چوي جوان، حسين تون سدا هُجين،
دل ٿي چوي اِئين ئي، مگر ٿي نه ٿو سگهي.",Masroor Pirzada
"اُڀ جي چاهت ڌرتيءَ سان آ،
ڏس! ته چُمي تي گُل کي شبنم.",Masroor Pirzada
"مان ستارا به ٿو سگهان لاهي،
ايترو ڀي وڌاءُ ڇو آخر؟",Masroor Pirzada
"تنهنجي درشن لا اچون ٿا، ڇا ڀي ٿي پئي ڀل،
تنهنجو رستو ڪين ڀُلون ٿا، چنڊ، هوا ۽ مان.",Masroor Pirzada
"مصروفيت بيڪار ڪيو آ،
منهنجي فرصت منهنجوآ ڪم.",Masroor Pirzada
"عجيب آهه اسان جي به ڪيفيت هاڻي،
وجود آهه وِڃايو، عدم به ڪونهي ڪو.",Masroor Pirzada
"انسان پنهنجو پاڻ تعارف آ پانهنجو،
ڇا لاءِ تون پوين ٿو انهي ذات پات ۾.",Masroor Pirzada
"عشق ۾ جو مليو ثواب آهي،
جسم جي سو گناهه مان نڪتو.",Masroor Pirzada
"ستارا، چنڊ، سورج ۽ هوائون شاعري آهن،
ڏسان جيڪا به شيءِ ٿو مان، اُها آ شاعري تنهنجي.",Masroor Pirzada
"تون، مان جِتي هُجون اُتي نابين سڀ هُجن،
پر ظلم ڏِس ته اهڙو نگر ٿي نه ٿو سگهي.",Masroor Pirzada
"جڏهين به مُند مٽبي، ۽ هيءَ هوا بدلبي،
جڏهين به واءُ ورندو، ڏاڍو تون ياد ايندين.",Masroor Pirzada
"فريب ناهه تنبوري جي تار وارو سُرُ،
مگرهيءَ تار، تنبُورو، فريب آ بابا!",Masroor Pirzada
"مُئي پُڄاڻان مِلين ته هاڻ مران،
ايترو انتظار ڪير ڪري!",Masroor Pirzada
"مون کي کپي حسين اُها ڇوڪري الا!
جنهن جو نه حـُسن آهه ڪٿي ممڪنات ۾.",Masroor Pirzada
"زندگيءَ جي حَسين نيڻن ۾،
عشق جي خواب کي ڪجل لکجي.",Masroor Pirzada
"لڪن مان وئي لنگھي سسئي، تري درياھه وئي سُھڻي،
ڏُکيائيءَ ۾ به سولائي، اسان کي عشق سمجھائي۔",Masroor Pirzada
"ڳالهه، جنهن جو بيانُ ناممڪن،
شعر ۾ سا بيان ٿي ويئي.",Masroor Pirzada
"سُور جي سامان ۾ ڇا ڇا نه آ!
عاشقن جي شان ۾ ڇا ڇا نه آ!",Masroor Pirzada
"فرد ڪم آ ڪندو اداري جو،
فرد تي ڪم ڪندو ادارو آ.",Masroor Pirzada
"ڏينهن سڄو بيڪار رهون ٿا پاڻ ته پيارا! پر
جيئن ٿئي ٿي رات، کُلون ٿا، چنڊ، هوا ۽ مان.",Masroor Pirzada
"اوهان سان عشق آ مون کي، اوهان جو ساٿ ٿو گهرجي،
وڏو هي فلسفو ناهي، قِصو هي مختصر آهي.",Masroor Pirzada
"چوڏهينءَ رات تو بنان ڪاري،
ساڻ تنهنجي ئي چاندني ٿئي ٿي.",Masroor Pirzada
"دنيا تياڳ ڪئي آ مون،
ٺٺ ۽ ٺانگر هوندي ڀي.",Masroor Pirzada
"پاڻ ۾ ئي رڳو نه آهيان مان،
پاڻ کان ڀي مزيد آهيان مان.",Masroor Pirzada
"“ڇو ورهايو ٿا پيا مون کي توهان؟”
هيءَ ڌرتي ڄڻ چوي ٿي ماٺ ۾.",Masroor Pirzada
"هيءَ عُمر قيد آهي، هيءَ زندگي نه آهي،
ڪا موت تائين ان مان، آزادگي نه آهي.",Masroor Pirzada
"جوان هي عشق ٿي ويو آ،
ويو هان مان جيئن ٿي ڪُراڙو.",Masroor Pirzada
