Couplets,Poet
"حسنِ زيبا کي ڏسي، حُسنِ ازل چئي ويٺس،
سونهن کي سونهن جي صانع جو بدل چئي ويٺس.",Ahmed Khan Madhosh
"هُن جي صورت جو پرستار صدين کان آهيان،
هُن جي درشن کي ثوابن  جو عمل چئي ويٺس.",Ahmed Khan Madhosh
"هُن جي نيڻن کي سڏيم ڪوثر و تسنيم ڪري،
زلف جي ڇانو کي جنت جو محل چئي ويٺس.",Ahmed Khan Madhosh
"هُن جي مرڪڻ کي چيم روپ مسيحائيءَ جو،
۽  ڪجلدار نگاهن کي اجل چئي ويٺس.",Ahmed Khan Madhosh
"دل لڳي منهنجي ڏسي داد ڏيو همسفرو!
عشق جي زور کي مشڪل کي سهل چئي ويٺس.",Ahmed Khan Madhosh
"ڇا چيم ڇا نه چيم، ڪابه خبر ڪانه رهي،
لاشعوريءَ ۾ ”مدهوش“ غزل چئي ويٺس.",Ahmed Khan Madhosh
"چون ٿا حسن جي آ دلفريبي، دلڪشي، دوکو
مگر موڳي هي منهنجي دل، قبولي ئي نٿي دوکو.",Ahmed Khan Madhosh
"خدا خود آدميءَ کي آ ڪشش جي رنگ سان ٺاهيو،
ٿيان ڪافر، اگر سمجهان وجود آدمي، دوکو.",Ahmed Khan Madhosh
"وڃي ٿي زندگي بي دم. تڏهن رهجي اي انسانو!
جڏهن ڪائي ڏئي ٿي زندگيءَ کي زندگي دوکو.",Ahmed Khan Madhosh
"اجايو عشق تي الزام آ، ورنه حقيقت ۾،
نه معشوقي فريب آهي، نه ڪائي عاشقي دوکو.",Ahmed Khan Madhosh
"محبت پاڪ جذبو آ، انهيءَ جذبي کي ورجايو،
جو هن جذبي کان سگهيو آ، نه ڪنهن کي ڀي ملي دوکو.",Ahmed Khan Madhosh
"اُنهيءَ جي فلسفي جي ڳالهه تي ايمان ڪيئن آڻيان؟
نظر جنهن کي اچي ٿي، دوست! دنيا ئي سڄي دوکو.",Ahmed Khan Madhosh
"
سمايل روح ناهي جيڪڏهن ’مدهوش‘ شعرن ۾،
ته اهڙي قسم واري آ سموري شاعري دوکو.",Ahmed Khan Madhosh
"سِرُ لڳي سهڻي سڄڻ سان سِرُ لڳي
دل جي دلبر من جي من سان سِرُ لڳي",Ahmed Khan Madhosh
"وار ڇوڙي مون مٿان جنهن ڇانو ڪئي
تنهن جي وارن ۽ وڙن سان سِرُ لڳي",Ahmed Khan Madhosh
"هو جتان ڀي مور جيان آيو ويو
تن دڳن ۽ پيچرن سان سِرُ لڳ",Ahmed Khan Madhosh
"ٿا لڳن ماکي ۽ مصري کان وڌيڪ
چاشني جهڙن چپن سان سِرُ لڳي",Ahmed Khan Madhosh
"
يار آ مـدهوش مـنهـنـجو ســـانورو   
تنهن ڪري ڪل سانورن سان سِرُ لڳي",Ahmed Khan Madhosh
"جي سامهون اچين ٿو ته تابش ٿي ماري،
لڪين ٿو ته ڳولا جي خواهش ٿي ماري.",Ahmed Khan Madhosh
"جي ڪاوڙ ڪرين ٿو ته ڪاوڙ ڪُهي ٿي،
جي پرچي پوين ٿو نوازش ٿي ماري.",Ahmed Khan Madhosh
"توکي ناهه پرواهه دل جي لڳيءَ جي،
مون کي عشق تنهنجي جي آتش ٿي ماري.",Ahmed Khan Madhosh
"تنهنجي پاڪ مک جو نظارو ٿو موهي،
بناوت، سجاوٽ، نگارش ٿي ماري.",Ahmed Khan Madhosh
"رهي حسن تنهنجي جو پردو سلامت،
نقابن جي هوندي نمائش ٿي ماري.",Ahmed Khan Madhosh
"مقيد اڳيئي آهيان آءٌ، ويتر،
سندءِ زلف واري آرائش ٿي ماري.",Ahmed Khan Madhosh
"شبِ وصل ۾ خوفِ فرقت رهي ٿو،
شبِ هجر ۾ غم جي سازش ٿي ماري.",Ahmed Khan Madhosh
"شاعر هُجي ته پيار جو پيغامبر هجي،
پيشِ نظر نه جنهن جي اگر ۽ مگر هجي.",Ahmed Khan Madhosh
"مُرشد هجي ته فيض ڀريو فيضورَ هجي،
جنهن جو ڪرم ڪثير، ڪريمي ڪثر هجي.",Ahmed Khan Madhosh
"عالم هجي ته اُن ۾ عمل جو اکر هجي،
سهڻي صلاحيت جو وِهايل وکر هجي.",Ahmed Khan Madhosh
"رهبر هجي ته رُوحِ روان راهبر هجي،
منزل جو آشنا هجي، خضرِ سفر هجي.",Ahmed Khan Madhosh
"افسر هجي ته سَهوَ ڪندو درگذر هجي،
جنهن جي عنايتن جو کُليل خاص در هجي.",Ahmed Khan Madhosh
"قاضي هجي ته داد سندو دادگر هجي،
انصاف جو امين، امانت جو گهر هجي.",Ahmed Khan Madhosh
"ليڊر هجي ته ملڪ جو ڪو معتبر هجي،
جنهن جو عمل عظيم هجي، پُر اثر هجي.",Ahmed Khan Madhosh
"حاڪم هجي ته اهڙو مڪمل بشر هجي،
خوش خُلق، نيڪ نام هجي، ناموَر هجي.",Ahmed Khan Madhosh
"قاصد هجي ته گفتگو جو ڪارگر هجي،
جنهن جي زبان صاف سڌي سربسر هجي.",Ahmed Khan Madhosh
"پورهيت هجي ته ماهرِ فن، باهُنر هجي،
مشغُول پنهنجي هاجَ ۾ شام و سحر هجي.",Ahmed Khan Madhosh
"سامهون سڄڻ هجي ۽ نظر ۾ نظر هجي،
پنهجي خبر هجي، نڪي ٻئي جي خبر هجي.",Ahmed Khan Madhosh
"چاهيان اهو نٿو ته ڪو جنت ۾ گهر هجي،
دلبر جو در هجي ۽ سندس در تي سر هجي.",Ahmed Khan Madhosh
"هاريو کٽيو نه آهه محبت ۾ ساربو،
مون کي لڳي ڀلي ڪَس توڏي ڪثر هجي.",Ahmed Khan Madhosh
"هرگز نٿي ڪڏهن به محبت لڪي سگهي،
ڪيڏو کڻي حجاب هجي يا حَذر هجي.",Ahmed Khan Madhosh
"ٻيو ڪجهه هُجي هُجي، نه هجي راهه عشق ۾،
پر جي هجي، فقط غمِ دلبر ثمر هجي.",Ahmed Khan Madhosh
"ڪوئي بغير عشق جي پهچي نٿو سگهي،
توڙي مفاصلو ئي کڻي مختصر هجي.",Ahmed Khan Madhosh
"ساقي نگاهِ مست هجي، رند ڀي هُجن،
محفل ۾ مئي ڪشي جو مزو رات ڀر هجي.",Ahmed Khan Madhosh
"وڻي ويئي اهڙي ادا دلربا جي،
جفا کي به سمجهي عطا دلربا جي.",Ahmed Khan Madhosh
"سندس ناز نخري جو ڪاٿو ئي ڪونهي،
ڪريان سو ڪريان ڳالهه ڇا دلربا جي.",Ahmed Khan Madhosh
"حجابي نگاهن جي معصوم شوخي،
تهه دل سان آهي بجا دلربا جي.",Ahmed Khan Madhosh
"هُجان آءٌ جيتر به جيئرو جڳت ۾،
سُڻان صبح سانجهي ثنا دلبر جي.",Ahmed Khan Madhosh
"خطا ڪار ٿي مون خطا جيتري ڪئي،
مٿم اوتري ٿي عطا دلربا جي.",Ahmed Khan Madhosh
"دوست ڪنهن کان جدا خدا نه ڪري،
ڪنهن کي هي غم عطا خدا نه ڪري.",Ahmed Khan Madhosh
"منهنجي تصور ۾ تون هجين هر دم،
هڪڙي ساعت قضا خدا نه ڪري.",Ahmed Khan Madhosh
"تنهنجي در جو بڻيو ته آهيان فقير،
ٻئي جي در جو گدا خدا نه ڪري.",Ahmed Khan Madhosh
"منهنجو سينو ڳڀا ڳڀا ٿي وڃي،
تير تنهنجو خطا خدا نه ڪري.",Ahmed Khan Madhosh
"روزِ محشر سواءِ تنهنجي، ٻي،
ڪائي مون کان پُڇا خدا نه ڪري.",Ahmed Khan Madhosh
"ڪيا ناز مون سان سڄڻ ڪهڙا ڪهڙا،
ڪريان ياد پرچڻ رُسڻ ڪهڙا ڪهڙا.",Ahmed Khan Madhosh
"محبت ۾ ڇا ڇا ڏنوسين وتوسين،
سنڀاليان کٽڻ، هارجڻ ڪهڙا ڪهڙا.",Ahmed Khan Madhosh
"پرين جايون جوڙيون اکين ۾ ۽ دل ۾،
اُجاريان سنواريان اڱڻ ڪهڙا ڪهڙا.",Ahmed Khan Madhosh
"محبت جي مچ کي دُکائي دُکائي،
پگهاري ڇڏياسين پهڻ ڪهڙا ڪهڙا.",Ahmed Khan Madhosh
"وڻي خوب مصرع هي ناظم جي مون کي،
”حياتي لنگهي وئي پتڻ ڪهڙا ڪهڙا.“",Ahmed Khan Madhosh
