Couplets,Poet
,Ustad Bukhari
"هي عشق ڏسو منهنجي جوڀن جي نشاني آ۔
by USTAD BUKHARI",Ustad Bukhari
"هي عشق ڏسو منهنجي جوڀن جي نشاني آ۔
مرحوم امنگن جي جيون جي نشاني آ۔",Ustad Bukhari
"ڪنهن ڪنهن کي وجهان ڇلڙا، ڪنهن ڪنهن کي مکيان خوشبو،
هن شهر کي آڇي مون شعرن جي نشاني آ۔",Ustad Bukhari
"گهوُري ته جگر گهائي، مُرڪي ته مکي مرهم،
هر سونهن کي سمجهان ٿو سڄڻن جي نشاني آ۔",Ustad Bukhari
"ڏس جوش ڏڪي ٿو پيو ء هوش بڪي ٿو پيو،
ته به تن ۾ تمنائون، جشنن جي نشاني آ۔",Ustad Bukhari
"احساس جي الماڙي، هر رئڪ تي تقريرون،
شاعر جي اڪيلائي، جشنن جي نشاني آ۔",Ustad Bukhari
"اٿ ميڙ اهي ٺڪريون، دل ڪنهن جي ٽُٽي پئي آ،
هي خاڪ به کڻ ڪنهنجي، نيڻن جي نشاني آ۔",Ustad Bukhari
"مايوس هوائن کان اٿ منهنجون اميدون وٺ،
دانهن جي پلاندن ۾ نغمن جي نشاني آ۔",Ustad Bukhari
"استاد جي البم ۾ گُل ٽاڪ ڀلي دلبر،
هي خار به رک تنهنجي گلشن جي نشاني آ۔",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
 مان ڀڙڪان ٿو۔,Ustad Bukhari
"اوهان سمجهو ٿا چمڪي ٿو، مان ڀڙڪان ٿو،
جهجهڙ ۾ ڪو ته جهئونڪي ٿو، مان ڀڙڪان ٿو،",Ustad Bukhari
"ڀلي سيڪويو اوهان پنهنجون ڳڱيل سوچون،
مٿان پارو به ڪڙڪي ٿو، مان ڀڙڪان ٿو،",Ustad Bukhari
"هي يارو معجزو ڪونهي، نظارو نينهن جو آهي،
برابر مينهن برسي ٿو، مان ڀڙڪان ٿو،",Ustad Bukhari
"مان پروانو ته ناهيان، آهيان پوپٽ پر،
جي گل ڪو شمع بڻجي ٿو، مان ڀڙڪان ٿو،",Ustad Bukhari
"نه چئه پٿر، کڻي پٿر به سمجهو پر،
اچيو چقمق جي چهٽي ٿو، مان ...",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
لُڇون ڇو نه جاني، پڇون ڇون نه پيارا۔,Ustad Bukhari
"نه توکي لهون ٿا نه توکي لڀون ٿا،
يڪو هڪ ٻئي کي وڃايو وتون ٿا۔",Ustad Bukhari
"اسين سمنڊ ناهيون جو ڪو دنگ روڪي،
اسين وقت وانگي اورانگهي لنگهون ٿا۔",Ustad Bukhari
"نه ڪو عشق چرچو نه ڪو حسن چسڪو،
ٻنهي جي مچڻ ۾ پچون ٿا نچون ٿا۔",Ustad Bukhari
"پري کان نهارين ته تاڻيو ملڻ لئه،
ملون ٿا ته اڳتي کان اڳتي وڌون ٿا۔",Ustad Bukhari
"گهڙيء کي گهڙي زندگيون ٿا سنواريو،
ڪتيء کي ڏسي ڪهڪشائون ڪٿيون ٿا۔",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
گهڻو اداس نه ٿي جو اجهائجي نه وڃين۔,Ustad Bukhari
"گهڻو اداس نه ٿي جو اجهائجي نه وڃين،
وڏو جهان آ غم جو، وڃائجي نه وڃين۔",Ustad Bukhari
"هي جام، جام تي پيئندي ٿي رهندو تاس وڌي،
ته احتياط، اڃا بي اجائجي نه وڃين۔",Ustad Bukhari
"رکين ته چنڊ سا رک چاهه، ڏي ڇڏي تارا،
متان هزار ذريون ٿي ورهائجي نه وڃين۔",Ustad Bukhari
"خلوص، چنگ نه ٿي جو بکيا وتن چارڻ،
کڄي، اير جي در تي وڄائجي نه وڃين۔",Ustad Bukhari
"ٽڪر به ٿي متان نانگڻيون نچن توتي،
ڪڪر نه ٿي جو گگن ۾ نچائجي نه وڃين۔",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
ماشاءَالله۔۔,Ustad Bukhari
"ديد گلابي دلبر تنهنجي،مرڪ چنبيلي ماشاءَالله ،
نازڪ انگڙا،ريشم ڪپڙا،دل پٿريلي،ماشاءَالله،",Ustad Bukhari
"طرحين رنگ طبيعت تنهنجي،دنيا وانگر دور نيارا،
ڪٿ نخريلي،ڪٿ اربيلي،ڪٿ شرميلي، ماشاءَالله",Ustad Bukhari
"ڪڏهين اڪيلي مون وٽ منهنجي ،هوءَ سرهائي ناهي آئي،
اڄ به اٿس ڪاڳوڙهي ڳڻتي،ساڻ سهيلي ، ماشاءَالله",Ustad Bukhari
 ,Ustad Bukhari
,Ustad Bukhari
,Ustad Bukhari
"سونهن تنهنجي سنگيت جهڙي آ،
 گفتگو، لوڪ گيت جهڙي آ۔ ",Ustad Bukhari
"تنهنجي گهر جي ڀت تي هٿ رکيم، پت ڪر،
 ڇو ته مون لئه مسيت جهڙي آ۔ ",Ustad Bukhari
"پيڙ تي پيڙ، جاري جيوت ۾،
 پو به پياري پريت جهڙي آ، ",Ustad Bukhari
