Couplet,Author
"ڀونءِ نہ آئي ڀانءِ، اَلا مان اُڏري ويندو سانءِ،
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"مون سان جاڙَ نہ ڪر، اي جيڏا،! سچ ٿو آءُٗ چوانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"نيٺ تہ ڀانئيندين تون، ھاڻي ڀلي نہ مون کي ڀانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"رھندي جيون جي جھرڻي ۾، ھن جندڙيءَ جي جھانءِ؛
اَلا مان اُڏري ويندو سانءِ.!",Sheikh Ayaz
"تو ۾، مون ۾ ڀيدُ نہ ڪوئي، اَڙي نديءَ جا نِيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"مان پڻ آھيان ڪائي جَڳ جي سندرتا جِي سيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ چندرما جِي آڌيءَ رات اُڪيرَ،
اَڙي ندي جا نِيرَ.!",Sheikh Ayaz
"منھنجي من ۾ تات ائين، جئن گُھلي ڏکڻ جي ھيرَ،
اَڙي نديءَ جا نِيرَ.!",Sheikh Ayaz
"ڪاريءَ رات، ڪَتيءَ جو پاڇو، ڪيئي نيڻ نياڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"جَر ۾ جھرمر، گھَرو، ڪارو، پاڻيءَ جو پھراڻُ،!
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"منھنجي من کي موھي ويو، ھي مَنڊَ بنا مانڊاڻُ،
ڪيئي نيڻ نياڻُ.!",Sheikh Ayaz
"پُٺتي موڙ مَھار،
اَلو ميان، پُٺتي موڙ مھارَ،!",Sheikh Ayaz
"ڇو تون اورانگھي آيو آن، سانگيئڙن جي سارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَسوچ سَٽيا ھيئن لاھي، چِت تان چندن-ھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"سُرھي سيج ڇڏي تون نِڪتين، ويڙھي ڪي ويچارَ؛
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙيءَ اُڻتُڻ کي اَرپي تو، تن جي تات تنوارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"ڪھڙي مارڳ موھِي آھي، تنھنجي نيڻ َ نھارَ،؟
اَلو ميان، پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
"اڳتي لَڪ ُ لَڪ لڱ ڪانڊاري، وِک َ وِکَ ويريء َ وارَ،
اَلو ميان،پُٺتي موڙ مَھارَ.!",Sheikh Ayaz
