Couplets,Poet
"وڻ ۾ پنَّ ته ڪيئي آهن
پوءِ به پن پن هيکلڙو",Sheikh Ayaz
"دور ڪَدم تان پنڇيءَ وانگر
هيٺ ڏسي بَن هيکلڙو",Sheikh Ayaz
"لهرون، لُڙ، درياهه گهڻيئي
تار تري تَن هيکلڙو",Sheikh Ayaz
"ڪنهن کي آڇي،ڪنهن سان ورڇي
منُ اُتم – ڌنُ هيکلڙو",Sheikh Ayaz
"ايڏي چُپّ اپار
چڱي ته ناهي يار",Sheikh Ayaz
"جي تو وٽ ڪوئي گيت نه آ
ڪا جيءَ منجهان جهونگار",Sheikh Ayaz
"ايڏي چُپّ چڱي ته نه آهي!
ڀُڻ جهُڻ، ڪا ڀڻڪار",Sheikh Ayaz
"زنجيرن لئه زور نه آهه جي
ڪا جهيڻي جهڻڪار",Sheikh Ayaz
"ڪاري رات ابد تائين آ،
اوندههِ تارون تار",Sheikh Ayaz
"پوءِ به ٿي ڪا جيءَ جهروڪا
لُنءَ لُنءَ منجهه لغار!
",Sheikh Ayaz
"ڳاءِ وري ڪجهه ڳاءِ بانورا
ڳاءِ وري ڪجهه ڳاءِ",Sheikh Ayaz
"امرت رَس ڇلڪاءِ بانورا
ڳاءِ وري ڪجهه ڳاءِ",Sheikh Ayaz
"موت کي مات ڏني آهي ڪنهن
چاتر گياني سوچي-
",Sheikh Ayaz
"انت ته ساڳو آهي، ڪهڙي
آنا ڪاني؟ سوچي",Sheikh Ayaz
"نهر اُتي ئي، لهر ته آهي
آني جاني! سوچي",Sheikh Ayaz
"سانوريون نينگريون پنڌ ۾ ٿَڻَ لُڏن،
ڄيٺ ۾ ڄڻ پيا انب جا وَڻ لُڏن",Sheikh Ayaz
"دور ريٻاريون ڄڻ وڻنِ ٽاريون،
وائري ۾ پيا ڪيترا ڌَڻ لُڏن",Sheikh Ayaz
"ڇا اُتر جي تپت تو وساري ڇڏِي؟
روز جهولا لڳن انب جا وڻ لُڏن",Sheikh Ayaz
"پيار تنهنجو پرين ايترو ويجهڙو!
دل دَهڪِجي وَئي ڪئن نه ڏانوَڻ لُڏن",Sheikh Ayaz
"هيءَ به آ شاعري جنهن سَرءُ ڪانه آ،
روز بادل وسن روز سانوَڻ لُڏن",Sheikh Ayaz
"
پاڻ کان ڪنهن هَرڻ جيان نه ڀڄو
رڻ ۾ رهڻو آ وَڻ جيان نه ڀڄو
",Sheikh Ayaz
"سِڪَّ ۽ ڇِڪَّ ۾ رهي ويڇو
ٻار جي مُنهن ڏي ٿَڻ جيان نه ڀڄو",Sheikh Ayaz
"
آسمانن ۾ شور ٿي گهاريو
وِڄُّ وانگر وَسڻ جيان نه ڀڄو
",Sheikh Ayaz
"نه ڌڻي آ نه ڪو ڌنار آهي
مينهَن جي ڏينهن ڌَڻ جيان نه ڀڄو",Sheikh Ayaz
"پيرَ کوڙي رهو پهاڙن تي
پَٿّرن جي ڪِرَڻ جيان نه ڀڄو

",Sheikh Ayaz
"رَٿَّ روڪي وِڙهو ’اياز‘ اڃان
ڪانئرن جي ڀَڄڻ جيان نه ڀڄو
",Sheikh Ayaz
"علي الصباح که مردان به کار کار رَونَد
بلاڪشانِ محبّت به کوئي يار رَوَند
",Sheikh Ayaz
"باکَ ڦُٽيءَ جو شعر لهن ٿا
مون تي سِجَّ اُهاءُ ڪري؛",Sheikh Ayaz
"رَتُّ اُٻڙڪا کائي ٿو ايئن
ڏينهن تَتو جِئن تاءُ ڪري!",Sheikh Ayaz
"سارو وقت ته رهندو ناهين،
ويندو آنهه سماءُ ڪري!",Sheikh Ayaz
"ڪيسين ڪُوءِڪلالن جي ۾
منهنجي ڏات هُڳاءُ ڪري؟",Sheikh Ayaz
"آءٌ ته آدرڀاءُ ڪري ڪو
تنهنجو آدرڀاءُ ڪري!",Sheikh Ayaz
"منهنجا گيت ڪڏهن اي ڌرتي!
چئه، تو کان ڪو مُلهه گهُرن ٿا؟",Sheikh Ayaz
"وشِوُ* جيئن ڪو مندر آهي
ڇا اِن ۾ ڪوئي دَر آهي؟",Sheikh Ayaz
"مورتيون ۽ سڀ پوڄاري
اِن کان ٻاهر ڇو نه وڃن ٿا؟",Sheikh Ayaz
"هُونءَ وشال* لڳي ٿو، ليڪن
گهيرو ڪيڏو سوڙهو آهي!",Sheikh Ayaz
"”توڙي ڏور اُسَهڻو آهيان
آءٌ اوهان ۾ رَهڻو آهيان",Sheikh Ayaz
"پر هُو مون کي ڪونه ٻڌن ٿا
لُڙڪ اگهن ٿا، پوءِ چون ٿا",Sheikh Ayaz
"راڄ- مهاڄڻُ ڪوئي ناهي هر ڪو پاڻَ وڏو آ،
پر جنهن کي بندوق نه آهي سو ڄڻ مڙس جَڏو آ.",Sheikh Ayaz
"هائو، هيءَ مخلوقَ وڏي شيءَ آهي
تنهن کان پوءِ بندوق وڏي شيءِ آهي.",Sheikh Ayaz
"بادل آيا، ڪيڏي اُڻ تُڻ آهي تاڙَن ۾!
مور اُڏاڻا، گونجي ٿي بندوق پهاڙَن ۾.",Sheikh Ayaz
"ڪالهه ڪويتا جي رس تي جي چارڻ ايندا ها
روز لُريءَ ۾ ڪوئي ٻارڻ ٻارڻ ايندا ها،",Sheikh Ayaz
"هاڻي هن بندوق جي تَڙ تَڙ اهڙي واڻي آ،
هر ڪو ڄاڻي ٿو ته اُنهيءَ جي اَمر ڪهاڻي آ.",Sheikh Ayaz
"هائو، هيءَ مخلوق وڏي شيءَ آهي
تنهن کان پوءِ بندوق وڏي شيءَ آهي.",Sheikh Ayaz
"ڪوڏَ ڪئن ڪناري تي
سمنڊَ کي سَمايو آ؟",Sheikh Ayaz
"شورُ تو ڪڏهن اُن ۾
هانوَ سان هنڊايو آ؟",Sheikh Ayaz
"اڃا اُجهاڻل ڏيئو ناهيان
تون جو اچڻو آهين، آءٌ!",Sheikh Ayaz
"اڃا به ساڳيو ليئو آهيان
اچڻو آهين جي تون، آءٌ!",Sheikh Ayaz
"انت ته اچڻو آنهه
هاڻي پنڌ پري نه آ",Sheikh Ayaz
"هيل ته ريٽو ٿو لڳين
اڃا به رَچڻو آنهه؟",Sheikh Ayaz
"ڪيسين موکيءَ مڌّ ۾
مون سان مچڻو آنهه؟",Sheikh Ayaz
"تارن جهُرمٽ مان لهي
مون سان نچڻو آنهه—",Sheikh Ayaz
"انت ته اچڻو آنهه
هاڻي پنڌ پري نه آ!",Sheikh Ayaz
"رابيل- رُت، مايا نَگَرُ،
تنهنجي ڳليءَ جون ڳالهڙيون",Sheikh Ayaz
"ساڳي هوا، ساڳو پڌرُ،
تنهنجي ڳليءَ جون ڳالهڙيون.",Sheikh Ayaz
"ساڳي هوا، ساڳو پڌرُ،
تنهنجي ڳليءَ جون ڳالهڙيون.",Sheikh Ayaz
"تون مان نه، پر آهن اَمرُ
تنهنجي ڳليءَ جون ڳالهڙيون.",Sheikh Ayaz
"ڄڻ ته اوندهه ۾ ٻَري ٿو
ڪوئي ڏيئو— روهڙي.",Sheikh Ayaz
"ٿي وجهي تاريخ ۾
ڪنهن وقت لِيئو— روهڙي",Sheikh Ayaz
"”ڀائرو جنهن جاءِ آهيو
شال جِيئو“— روهڙي.",Sheikh Ayaz
"اهڙي اڳ- ڳڻتي
ڪهڙيءَ ڪَؤتا کي هئي؟
",Sheikh Ayaz
"ڪنهن هئن دانهن ٻڌي هئي
دُکي ڌرتيءَ جي؟",Sheikh Ayaz
"ڇا اڳ ڏيههَ ڏٺا هيا
ڏاهپ هئن ڏَمر؟",Sheikh Ayaz
"من- پيڙا جي ٻولڙي
ڪنهن هِئن ڪُرلائي؟",Sheikh Ayaz
"برکا رُت، اڌارت، ڇڄهري،
پاڻي پُڇَّڙَ تارن جئن.",Sheikh Ayaz
"منهنجي من ۾ ڪيئي سارون
ساوڻ جي وسڪارن جئن.",Sheikh Ayaz
"دور دور تي بادل آهن
ورهين- وڇڙيل پارن جئن.",Sheikh Ayaz
