Couplet,Poet
"هيءَ سَينَ نه ڏيندي چَينَ، اُٿي ڏِسُ! ڪوئي آيو آ پيارا!
هي شايد ساڳيو رَمتو آ، اڳ جيئن اُڃايو آ پيارا!",Sheikh Ayaz
"جنهن وقت چراغ شام ٻَري ۽ ميخاني ۾ جام ٻري،
تنهن وقت اسان جو پنڌ پري، پنهنجو به پيارو آ پيارا!",Sheikh Ayaz
"جنهن وقت اسان جي تَندُ تَپي ۽ ساز ٽَپي آواز جهَپي،
تِنهن وقت ڀَلي ڪو ڪَنڌُ ڪپي، جو آيو، ڳايو آ پيارا!",Sheikh Ayaz
"ڏس ڏس ماڻهوءَ جي مٽيءَ کي، مون ڳوڙهي ڳوڙهي سان ڳوهي،
ڪهڙو نه لَسايو آ پيارا، ڇا جام بڻايو آ پيارا!",Sheikh Ayaz
"آ چوڌاري مهراڻُ مَتو، جنهن جو نه پَهي، جنهن جو نه پتو،
هِي رُوح جزيرو حيرت جو، جنهن منجهه سمايو آ پيارا!",Sheikh Ayaz
"ڪنهن ڪاريءَ چڳُ تي رات کُٽي، ڪنهن ڳاڙهي ڳَل تي باک ڦُٽي،
اِئن وقت ڪَٽيو، اِئن عُمر لٽي، سڀ سانگُ سجايو آ پيارا!",Sheikh Ayaz
"هي ڪارو ڪارونڀارُ ته ڏس، هُو ڏورانهون ڏهڪارُ ته ڏس!
مون ڪيڏيءَ جَر جي جهاڳَ مٿان هي ديپُ جلايو آ پيارا!",Sheikh Ayaz
"هيرا ته ڏسو، ڪَنڪر نه هَڻو، ايندو نه وري هي وڻجارو،
ڪُجهه ڏات ڏسو، پو بات ڪيو، هي شورُ اجايو آ پيارا!",Sheikh Ayaz
"هيءَ پنهنجي ڪرڻي ڀرڻي آ، پر سنڌُ “اياز” نه مرڻي آ،
آخر هيءَ رات گذرڻي آ، تو ڇو گهبرايو آ پيارا!",Sheikh Ayaz
"ساري شهر وسايا پٿر، جن سان چڪنا چُور هيو،
پوءِ به هُن ٿي نعرا ماريا، مُڙس ته ڪو منصور هيو!",Sheikh Ayaz
"وستيءَ وَستيءَ، نگريءَ نگريءَ، گيت اسان جي گونجَ ڪئي،
چانڊوڪيءَ ۾ چَنگُ وَڳو ٿي، رات پرينءَ جو پُور هيو.",Sheikh Ayaz
"ڪالهه وفا جي ويراني ۾، ڪهڙي هرڻي اُڃَ مُئي!
سِجُ ازل جي اَکِ لڳو ٿي، اُن ۾ ايڏو نُور هيو!",Sheikh Ayaz
"دريا دريا هُن جو مَن هو، صحرا صحرا نيڻ هُيا،
پَل جو پانڌيئڙو آيو هو، وڃڻو هُن کي دور هيو.",Sheikh Ayaz
"ڏينهن تَتَي جو آيو آهين، اڳ ۾ آئين ڇو نه “اياز”،
ڇَپري ڇَپري ڇانوَ هُئي، جنهن وقت نِمُن ۾ ٻُور هيو!",Sheikh Ayaz
"بي موت مُئا، تولاءِ ڪُٺا، انسانَ هزارين مان نه رڳو،
هن دنيا ۾ اي ديس! هيا، نادان هزارين مان نه رڳو.",Sheikh Ayaz
"جي راههِ اَجل ڪنهن وَرتِي آ، هن ڀُونءِ ڪئي ٻي ڀَرتي آ،
هيءَ ڌرتي توکي پَرتِي آ، مهمان هزارين مان نه رڳو.",Sheikh Ayaz
"اَک ساري رات نه جهَپڪي آ، ۽ شبنم شبنم ٽَپڪِي آ،
جي باکَ گهُري ٿي، بَکُ ته، اي زندان! هزارين مان نه رڳو.",Sheikh Ayaz
"ٿو ساري ڪوبه نه سُڃَ مئا، هو رڃ- مُئا جي اُڃ- مُئا،
ڇا پاپي پرکي پُڃ- مُئا، ارمان هزارين مان نه رڳو.",Sheikh Ayaz
"ڇو چنڊ اسان کي رات- ٺري، ڏي چانڊوڪيءَ جو زهر ڀري؟
آ ڪيڏو پويون پَهر پري! حيران هزارين مان نه رڳو.",Sheikh Ayaz
"تون چئه نه ڪُڇان، تون چئه نه لُڇان،  پر توکان هڪڙي ڳالهه پُڇان؟
تون ڪنهن ڪنهن کي خاموش ڪندين، اعلان هزارين مان نه رڳو.",Sheikh Ayaz
"هي دور “اياز” گذرڻو آ، ۽ پنهنجو وارو ورڻو آ،
ڪو ٻارَڻُ نيٺ ته ٻرڻو آ، امڪانَ هزارين مان نه رڳو.",Sheikh Ayaz
"ڪوئي اُنتيءَ جو امڪان!
سَڏُ پڙاڏو ٻئي حيران.",Sheikh Ayaz
"تڙڦي ٿي تهذيب اڃا،
ڪيڏو وَحشِي آ انسان!",Sheikh Ayaz
"ساڳيا پاپيءَ جا پنجوڙَ،
ساڳيو زور جو آ زندان.",Sheikh Ayaz
"ساڳيو ڏاڍي جو ڏهڪاءُ،
هيڻو اڳ جهڙو حيران.",Sheikh Ayaz
"ساڳيءَ سوريءَ تي منصور،
ساڳيو سرمد تي بهتان،",Sheikh Ayaz
"ساڳي گانڌيءَ لئه گولي،
ساڳيو لال لهوءَ سان گيان.",Sheikh Ayaz
"جي پنهنجو نُور نچائي ويا، ۽ تنهنجي جوت جلائي ويا،
سي لُڙڪ مٽيءَ ۾ لـــــوئــــي ويا، پر ڇا ڇا موتي پائي ويا!",Sheikh Ayaz
"سي وَڻ وَڻ لوڏي واءُ ٿيا، سي پَن پَن ۾ پرلاءُ ٿيا،
جي بَن بَن بِينَ وڄائي ويا، جي تن من واري ڳائي ويا.",Sheikh Ayaz
"مون ڌرتي تُنهنجا ڌِڱ ڏٺا، مون تن جا لويل لِڱَ ڏِٺا،
جن وڙهندي وڙهندي جان ڏني، سي وارا وِيرَ وڄائي ويا.",Sheikh Ayaz
"اڄ ڪو به ڳچيءَ ۾ ڳَٽُ نه آ، ڪو مُڙس انهن جو مَٽُ نه آ،
جي سارا ڪوٽَ اَڏائي ويا، سي گھوٽ اسان کي گھائي ويا.",Sheikh Ayaz
"مون اڻ ٿيڻا انسان ڏٺا، مون سوريءَ تي سو مان ڏٺا،
اي ڌرتي! ڇا ڇا ڪونڌر ها، جي پنهنجا ڪنڌَ ڪَپائي ويا!",Sheikh Ayaz
"مون ويندي تِن جا پيرَ ڏٺا، مون ڇا ڇا مُڙس مٿيرَ ڏٺا !
جي ڪيئي سِجَ اُڀاري ويا، جي ڪيئي سِجَ سَمائي ويا.",Sheikh Ayaz
"مون ڪاتيءَ هيٺان ڪنڌ ڏِٺا، مون ساڻا ساڻا سَنڌَ ڏٺا،
مون ڇا ڇا مائيءَ لال ڏٺا، جي لوئيءَ لَڄَ بچائي ويا",Sheikh Ayaz
"سي جيءَ جيارا ماڻهو ها، سي سڀ کان پيارا ماڻهو ها،
جن ساهه ڏئي ، ويساهه ڏنو، جي دل ۾ درد دُکائي ويا.",Sheikh Ayaz
"هو بادل بادل آيا ها، جن جَل ٿَل ڀالَ ڀَلايا ها!
اي کيتَ کِڙو ، او شال ٽِڙو! هُو پنهنجا مينهنَ وسائي ويا.",Sheikh Ayaz
"ويا پريت ڏئي هُو پاڻيارا، اڄ ڪينجھر تن جا ڪاڻيارا،
ڇا راڱا تن سان رُڃ ڪيا، جي تنهنجي اُڃَ اُجھائي ويا!",Sheikh Ayaz
