Couplets,Poet
"اوهان ناهيو ته پنهنجي دل، بهارن سان ٿا وندرايون
اسان ڏي جي اوهان ايندؤ، بهارن کي نه ڏسندا سين",Tanveer Abbasi
"اڪيلا ئي اڪيلا موج سان، پوندا سين الجهي اڄ
سهارن کي نه ڏسندا سين، ڪنارن کي نه ڏسندا سين",Tanveer Abbasi
"اسان سونهان زماني جا، اسان جو ماڳ سان مطلب
ڏکين واٽن، ورن وڪڙن ۽ چارن کي نه ڏسندا سين",Tanveer Abbasi
"اجھو نڪتو، وِهائو هاڻي ڪاري رات ٿي پوري
اجھو ٿي روشني ٿيئي، هاڻي تارن کي نه ڏسندا سين",Tanveer Abbasi
"نظر آهي صورت جي محتاج ڪڏهين
ڪڏهن حسن آهي نظر جو سوالي",Tanveer Abbasi
"اسانجي خوشين تي ٿي پاڻي ڦري ويو
ڏٺي سين ڪڏهن اک اوهانجي جي آلي",Tanveer Abbasi
"اوهين به پارس ناهيو سپرين، اسين به پارس ناهيون
پيار ڇهي ويو اسان ٻنهين کي، سونا ٿي پيا آهيون
",Tanveer Abbasi
"ناسي اکڙين وارا ماڻهو، جاڙين ڀروئن وارا ماڻهو،
منهنجي حياتي منهنجو جياپو، منهنجي خوشي تو پارا ماڻهو!",Tanveer Abbasi
"هيءَ حياتي ڪيئن گـذري ها، جيئڻ ڏاڍو مشڪل ٿئي ها،
جي نه ملن ها هن دنيا ۾، تو پارا ڪي پيارا ماڻهو!",Tanveer Abbasi
"ماڻهو ماڻهن جهڙا پر ڪي، ڪنهن لئه ڪهڙا ڪنهن لئه ڪهڙا،
مکڙين جهڙا ماکيء جهڙا، سڀ کي پنهنجا پيارا ماڻهو!",Tanveer Abbasi
"تنهنجي ٽهڪن جي ٽڙندڙ، گلڙن جا هار ڳچيءَ پائيندا،
جي دنيا کان هارائي،  ايندا تو وٽ دکيارا ماڻهو!",Tanveer Abbasi
"تنهنجي محفل ۾ اچڻ ٿو چاهيان
تنهنجو ديدار ڪرڻ ٿو چاهيان",Tanveer Abbasi
"تو سان مان عشق جو اظهار ڪري
تنهنجي حيراني ڏسڻ ٿو چاهيان",Tanveer Abbasi
"پاند خالي ڪري آيس ان لئه
تو کان ڪجهه آءُ گهرڻ ٿو چاهيان",Tanveer Abbasi
"مون کي ڏيو باهه ته مان پاڻ جلان
ڏيئو آهيان مان ٻرڻ ٿو چاهيان",Tanveer Abbasi
"ڪو پٿاري نه پٿاري دامن
مان ته لڙڪ آهيان ڪِرڻ ٿو چاهيان",Tanveer Abbasi
